sku_id,product_id,shade_name,list_price,sale_price,size,oz_value,g_value,ml_value,fl_oz_value,badge,in_stock,image_url,price_per_oz,price_per_g
2975878,P515061,Ma Donna,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2975878-main-zoom.jpg?pb=clean-planet-aware,,
2849156,P515061,Stella,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2849156-main-zoom.jpg?pb=clean-planet-aware,,
2975969,P515061,Fruitti,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2975969-main-zoom.jpg?pb=clean-planet-aware,,
2849164,P515061,Grazie,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2849164-main-zoom.jpg?pb=clean-planet-aware,,
2975845,P515061,Vino,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2975845-main-zoom.jpg?pb=clean-planet-aware,,
2849149,P515061,Ciao,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2849149-main-zoom.jpg?pb=clean-planet-aware,,
2849123,P515061,Mia,28.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2849123-main-zoom.jpg?pb=clean-planet-aware,,
2842870,P468693,Le BonBon,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2842870-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2743995,P468693,Cheeky,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2743995-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2743763,P468693,Beverly Hills,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2743763-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2744035,P468693,Persimmon,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2744035-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2744027,P468693,Stockholm,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2744027-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2744019,P468693,Fox,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2744019-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2743771,P468693,Apres,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2743771-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2743755,P468693,Rouge,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2743755-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2848794,P468693,Lusitano,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2848794-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2842854,P468693,Archival,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2842854-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2842888,P468693,Postmodern,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2842888-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2842862,P468693,Bespoke,30.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2842862-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2872448,P469825,Flirty,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2872448-main-zoom.jpg?pb=clean-planet-aware,,
2872422,P469825,Lady,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2872422-main-zoom.jpg?pb=clean-planet-aware,,
2872430,P469825,Hottie,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2872430-main-zoom.jpg?pb=clean-planet-aware,,
2437788,P469825,Rosy,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2437788-main-zoom.jpg?pb=clean-planet-aware,,
