shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,currency,size
https://www.ulta.com/p/pressed-powder-blush-pimprod2007329?sku=2267589,Revlon,Pressed Powder Blush,Mauvelous,https://media.ultainc.com/i/ulta/2267589_sw?img404=2267589&w=80&fmt=auto,Mauvelous Pressed Powder Blush,,13.99,USD,0.17 oz
https://www.ulta.com/p/beetroot-cheek-lip-tint-pimprod2029283?sku=2588786,Ere Perez,Beetroot Cheek & Lip Tint,Fun,https://media.ultainc.com/i/ulta/2588786_sw?img404=2588786&w=80&fmt=auto,Fun Beetroot Cheek & Lip Tint,bright fuchsia pink,30.0,USD,0.15 oz
https://www.ulta.com/p/beetroot-cheek-lip-tint-pimprod2029283?sku=2588787,Ere Perez,Beetroot Cheek & Lip Tint,Joy,https://media.ultainc.com/i/ulta/2588787_sw?img404=2588787&w=80&fmt=auto,Joy Beetroot Cheek & Lip Tint,bright cherry red,30.0,USD,0.15 oz
https://www.ulta.com/p/glowtour-duo-ph-blush-contour-stick-pimprod2047143?sku=2628526,DIBS Beauty,GlowTour Duo pH Blush + Contour Stick,Aura,https://media.ultainc.com/i/ulta/2628526_sw?img404=2628526&w=24&fmt=auto,Aura GlowTour Duo pH Blush + Contour Stick,ph blush / dewy highlighter,38.0,USD,0.34 oz
https://www.ulta.com/p/unlimited-blush-pimprod2032252?sku=2576107,KIKO Milano,Unlimited Blush,01,https://media.ultainc.com/i/ulta/2576107_sw?img404=2576107&w=80&fmt=auto,01 Unlimited Blush,coral rose,16.0,USD,0.21 oz
https://www.ulta.com/p/unlimited-blush-pimprod2032252?sku=2595746,KIKO Milano,Unlimited Blush,03,https://media.ultainc.com/i/ulta/2595746_sw?img404=2595746&w=80&fmt=auto,03 Unlimited Blush,golden coral,16.0,USD,0.21 oz
https://www.ulta.com/p/unlimited-blush-pimprod2032252?sku=2595747,KIKO Milano,Unlimited Blush,06,https://media.ultainc.com/i/ulta/2595747_sw?img404=2595747&w=80&fmt=auto,06 Unlimited Blush,brick,16.0,USD,0.21 oz
https://www.ulta.com/p/unlimited-blush-pimprod2032252?sku=2641652,KIKO Milano,Unlimited Blush,05,https://media.ultainc.com/i/ulta/2641652_sw?img404=2641652&w=80&fmt=auto,05 Unlimited Blush,mauve,16.0,USD,0.21 oz
https://www.ulta.com/p/unlimited-blush-pimprod2032252?sku=2641399,KIKO Milano,Unlimited Blush,04,https://media.ultainc.com/i/ulta/2641399_sw?img404=2641399&w=80&fmt=auto,04 Unlimited Blush,metallic rosy biscuit,16.0,USD,0.21 oz
https://www.ulta.com/p/true-match-super-blendable-blush-VP10730?sku=2114143,L'Oréal,True Match Super Blendable Blush,Baby Blossom C1-2,https://media.ultainc.com/i/ulta/2114143_sw?img404=2114143&w=80&fmt=auto,Baby Blossom C1-2 True Match Super Blendable Blush,,14.99,USD,0.21 oz
https://www.ulta.com/p/true-match-super-blendable-blush-VP10730?sku=2114145,L'Oréal,True Match Super Blendable Blush,Rosy Outlook C5-6,https://media.ultainc.com/i/ulta/2114145_sw?img404=2114145&w=80&fmt=auto,Rosy Outlook C5-6 True Match Super Blendable Blush,,14.99,USD,0.21 oz
https://www.ulta.com/p/true-match-super-blendable-blush-VP10730?sku=2114139,L'Oréal,True Match Super Blendable Blush,Subtle Sable W5-6,https://media.ultainc.com/i/ulta/2114139_sw?img404=2114139&w=80&fmt=auto,Subtle Sable W5-6 True Match Super Blendable Blush,,14.99,USD,0.21 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617489,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Coral Blossom,https://media.ultainc.com/i/ulta/2617489_sw?img404=2617489&w=80&fmt=auto,Coral Blossom Velvet Veil Minerals Powder Blush,pink coral,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617488,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Peony,https://media.ultainc.com/i/ulta/2617488_sw?img404=2617488&w=80&fmt=auto,Peony Velvet Veil Minerals Powder Blush,light pink with flecks of golden shimmer,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617483,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Snapdragon,https://media.ultainc.com/i/ulta/2617483_sw?img404=2617483&w=80&fmt=auto,Snapdragon Velvet Veil Minerals Powder Blush,mauve,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617487,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Southern Sunset,https://media.ultainc.com/i/ulta/2617487_sw?img404=2617487&w=80&fmt=auto,Southern Sunset Velvet Veil Minerals Powder Blush,deep pinkish plum with very slight shimmer,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617486,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Stargazer,https://media.ultainc.com/i/ulta/2617486_sw?img404=2617486&w=80&fmt=auto,Stargazer Velvet Veil Minerals Powder Blush,medium peachy coral with slight shimmer,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617485,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Sweet Pea,https://media.ultainc.com/i/ulta/2617485_sw?img404=2617485&w=80&fmt=auto,Sweet Pea Velvet Veil Minerals Powder Blush,medium mauvy pink with slight shimmer,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617482,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Terracotta Rose,https://media.ultainc.com/i/ulta/2617482_sw?img404=2617482&w=80&fmt=auto,Terracotta Rose Velvet Veil Minerals Powder Blush,warm russet,12.0,USD,0.1 oz
https://www.ulta.com/p/velvet-veil-minerals-powder-blush-pimprod2046589?sku=2617484,ULTA Beauty Collection,Velvet Veil Minerals Powder Blush,Tiger Lily,https://media.ultainc.com/i/ulta/2617484_sw?img404=2617484&w=80&fmt=auto,Tiger Lily Velvet Veil Minerals Powder Blush,neutral pinkish tan with slight shimmer,12.0,USD,0.1 oz
